,subset,element_number,FXY,ElementName,Value,Units
59,0,59,031021,Associated field significance,5.0,Code table
60,0,60,,Associated field,0.0,
61,0,61,012101,Temperature/air temperature,298.55,K
62,0,62,204000,Operator,,
63,0,63,004023,Time period or displacement,0.0,d
64,0,64,004004,Hour,10.0,h
65,0,65,004005,Minute,0.0,min
66,0,66,004006,Second,1.0,s
67,0,67,008023,First-order statistics,4.0,Code table
68,0,68,204008,Operator,,
69,0,69,031021,Associated field significance,5.0,Code table
70,0,70,,Associated field,0.0,
71,0,71,012101,Temperature/air temperature,300.25,K
72,0,72,204000,Operator,,
73,0,73,008023,First-order statistics,,Code table
0,1,0,001125,WIGOS identifier series,0.0,Numeric
1,1,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,1,2,001127,WIGOS issue number,0.0,Numeric
3,1,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,1,4,001001,WMO block number,91.0,Numeric
5,1,5,001002,WMO station number,592.0,Numeric
6,1,6,005001,Latitude (high accuracy),-16.44517,deg
7,1,7,006001,Longitude (high accuracy),-151.752,deg
8,1,8,007030,Height of station ground above mean sea level,3.0,m
9,1,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,1,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,1,11,008094,Method used to calculate the average daily temperature,2,Code table
12,1,12,004001,Year,2021.0,a
13,1,13,004002,Month,10.0,mon
14,1,14,004003,Day,2.0,d
15,1,15,004023,Time period or displacement,0.0,d
16,1,16,004004,Hour,18.0,h
17,1,17,004005,Minute,0.0,min
18,1,18,004006,Second,1.0,s
19,1,19,204008,Operator,,
20,1,20,031021,Associated field significance,5,Code table
21,1,21,,Associated field,0,
22,1,22,013060,Total accumulated precipitation,0.0,kg m-2
23,1,23,204000,Operator,,
24,1,24,004023,Time period or displacement,0.0,d
25,1,25,004004,Hour,18.0,h
26,1,26,004005,Minute,0.0,min
27,1,27,004006,Second,1.0,s
28,1,28,204008,Operator,,
29,1,29,031021,Associated field significance,5,Code table
30,1,30,,Associated field,6,
31,1,31,013012,Depth of fresh snow (depth of snowfall),,m
32,1,32,204000,Operator,,
33,1,33,004023,Time period or displacement,0.0,d
34,1,34,004004,Hour,18.0,h
35,1,35,004005,Minute,0.0,min
36,1,36,004006,Second,0.0,s
37,1,37,204008,Operator,,
38,1,38,031021,Associated field significance,5,Code table
39,1,39,,Associated field,6,
40,1,40,013013,Total snow depth (snow depth),,m
41,1,41,204000,Operator,,
42,1,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,1,43,004023,Time period or displacement,0.0,d
44,1,44,004004,Hour,18.0,h
45,1,45,004005,Minute,0.0,min
46,1,46,004006,Second,1.0,s
47,1,47,008023,First-order statistics,2.0,Code table
48,1,48,204008,Operator,,
49,1,49,031021,Associated field significance,5.0,Code table
50,1,50,,Associated field,0.0,
51,1,51,012101,Temperature/air temperature,303.25,K
52,1,52,204000,Operator,,
53,1,53,004023,Time period or displacement,0.0,d
54,1,54,004004,Hour,6.0,h
55,1,55,004005,Minute,0.0,min
56,1,56,004006,Second,1.0,s
57,1,57,008023,First-order statistics,3.0,Code table
58,1,58,204008,Operator,,
59,1,59,031021,Associated field significance,5.0,Code table
60,1,60,,Associated field,0.0,
61,1,61,012101,Temperature/air temperature,297.95,K
62,1,62,204000,Operator,,
63,1,63,004023,Time period or displacement,0.0,d
64,1,64,004004,Hour,10.0,h
65,1,65,004005,Minute,0.0,min
66,1,66,004006,Second,1.0,s
67,1,67,008023,First-order statistics,4.0,Code table
68,1,68,204008,Operator,,
69,1,69,031021,Associated field significance,5.0,Code table
70,1,70,,Associated field,0.0,
71,1,71,012101,Temperature/air temperature,300.45,K
72,1,72,204000,Operator,,
73,1,73,008023,First-order statistics,,Code table
0,2,0,001125,WIGOS identifier series,0.0,Numeric
1,2,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,2,2,001127,WIGOS issue number,0.0,Numeric
3,2,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,2,4,001001,WMO block number,91.0,Numeric
5,2,5,001002,WMO station number,592.0,Numeric
6,2,6,005001,Latitude (high accuracy),-16.44517,deg
7,2,7,006001,Longitude (high accuracy),-151.752,deg
8,2,8,007030,Height of station ground above mean sea level,3.0,m
9,2,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,2,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,2,11,008094,Method used to calculate the average daily temperature,2,Code table
12,2,12,004001,Year,2021.0,a
13,2,13,004002,Month,10.0,mon
14,2,14,004003,Day,3.0,d
15,2,15,004023,Time period or displacement,0.0,d
16,2,16,004004,Hour,18.0,h
17,2,17,004005,Minute,0.0,min
18,2,18,004006,Second,1.0,s
19,2,19,204008,Operator,,
20,2,20,031021,Associated field significance,5,Code table
21,2,21,,Associated field,0,
22,2,22,013060,Total accumulated precipitation,0.2,kg m-2
23,2,23,204000,Operator,,
24,2,24,004023,Time period or displacement,0.0,d
25,2,25,004004,Hour,18.0,h
26,2,26,004005,Minute,0.0,min
27,2,27,004006,Second,1.0,s
28,2,28,204008,Operator,,
29,2,29,031021,Associated field significance,5,Code table
30,2,30,,Associated field,6,
31,2,31,013012,Depth of fresh snow (depth of snowfall),,m
32,2,32,204000,Operator,,
33,2,33,004023,Time period or displacement,0.0,d
34,2,34,004004,Hour,18.0,h
35,2,35,004005,Minute,0.0,min
36,2,36,004006,Second,0.0,s
37,2,37,204008,Operator,,
38,2,38,031021,Associated field significance,5,Code table
39,2,39,,Associated field,6,
40,2,40,013013,Total snow depth (snow depth),,m
41,2,41,204000,Operator,,
42,2,42,007032,Height of sensor above local ground (or deck of marine platform),2.0,m
43,2,43,004023,Time period or displacement,0.0,d
44,2,44,004004,Hour,18.0,h
45,2,45,004005,Minute,0.0,min
46,2,46,004006,Second,1.0,s
47,2,47,008023,First-order statistics,2.0,Code table
48,2,48,204008,Operator,,
49,2,49,031021,Associated field significance,5.0,Code table
50,2,50,,Associated field,0.0,
51,2,51,012101,Temperature/air temperature,302.85,K
52,2,52,204000,Operator,,
